user_id,age,monthly_spend,spend_category,pref_perk,fee_preference
0,40,20000,Travel,Forex,Mid (1.5-5K)
1,23,10000,Travel,Cashback,Low (<1500)
2,41,20000,Food,Cashback,Free
3,39,20000,Fuel,Rewards,Premium (5K+)
4,36,20000,Shopping,Zero Fee,Mid (1.5-5K)
5,30,35000,Utility,Forex,Free
6,50,20000,Utility,Rewards,Low (<1500)
7,46,10000,Food,Zero Fee,Mid (1.5-5K)
8,28,35000,Shopping,Forex,Free
9,40,20000,Food,Lounge,Mid (1.5-5K)
10,25,35000,Utility,Premium,Mid (1.5-5K)
11,26,35000,Travel,Lounge,Low (<1500)
12,42,35000,Shopping,Cashback,Low (<1500)
13,43,35000,Food,Cashback,Low (<1500)
14,31,35000,Fuel,Lounge,Low (<1500)
15,48,20000,Shopping,Forex,Mid (1.5-5K)
16,54,20000,Food,Cashback,Mid (1.5-5K)
17,38,60000,Fuel,Rewards,Mid (1.5-5K)
18,42,10000,Utility,Forex,Mid (1.5-5K)
19,54,20000,Travel,Lounge,Premium (5K+)
20,37,20000,Shopping,Rewards,Premium (5K+)
21,48,100000,Food,Cashback,Free
22,37,10000,Fuel,Premium,Premium (5K+)
23,29,10000,Shopping,Lounge,Mid (1.5-5K)
24,47,5000,Shopping,Lounge,Mid (1.5-5K)
25,34,20000,Shopping,Premium,Mid (1.5-5K)
26,44,5000,Food,Rewards,Low (<1500)
27,32,10000,Fuel,Rewards,Free
28,28,5000,Travel,Rewards,Free
29,47,10000,Shopping,Cashback,Premium (5K+)
30,42,20000,Shopping,Forex,Low (<1500)
31,34,20000,Fuel,Premium,Mid (1.5-5K)
32,28,35000,Health,Premium,Low (<1500)
33,52,10000,Health,Lounge,Low (<1500)
34,49,35000,Utility,Cashback,Low (<1500)
35,45,10000,Travel,Zero Fee,Low (<1500)
36,37,10000,Fuel,Cashback,Low (<1500)
37,40,20000,Utility,Lounge,Mid (1.5-5K)
38,54,20000,Food,Rewards,Free
39,41,60000,Utility,Cashback,Mid (1.5-5K)
40,27,5000,Shopping,Rewards,Mid (1.5-5K)
41,42,10000,Shopping,Lounge,Premium (5K+)
42,46,100000,Shopping,Cashback,Premium (5K+)
43,29,100000,Food,Lounge,Mid (1.5-5K)
44,33,20000,Fuel,Forex,Free
45,30,20000,Health,Lounge,Low (<1500)
46,32,35000,Shopping,Lounge,Mid (1.5-5K)
47,41,20000,Health,Cashback,Low (<1500)
48,45,20000,Utility,Rewards,Free
49,51,20000,Shopping,Lounge,Premium (5K+)
50,34,5000,Utility,Forex,Mid (1.5-5K)
51,25,20000,Shopping,Zero Fee,Low (<1500)
52,35,100000,Shopping,Zero Fee,Free
53,31,20000,Shopping,Cashback,Low (<1500)
54,27,10000,Shopping,Cashback,Free
55,29,20000,Food,Premium,Low (<1500)
56,40,35000,Food,Rewards,Low (<1500)
57,39,5000,Fuel,Lounge,Low (<1500)
58,54,100000,Shopping,Rewards,Mid (1.5-5K)
59,49,10000,Food,Lounge,Mid (1.5-5K)
60,24,10000,Fuel,Lounge,Free
61,52,10000,Shopping,Forex,Mid (1.5-5K)
62,48,60000,Health,Lounge,Mid (1.5-5K)
63,26,10000,Food,Premium,Mid (1.5-5K)
64,54,5000,Food,Cashback,Mid (1.5-5K)
65,32,10000,Travel,Premium,Mid (1.5-5K)
66,24,20000,Shopping,Cashback,Premium (5K+)
67,35,35000,Shopping,Rewards,Free
68,29,20000,Food,Forex,Mid (1.5-5K)
69,38,35000,Travel,Cashback,Mid (1.5-5K)
70,29,10000,Health,Cashback,Low (<1500)
71,35,20000,Shopping,Zero Fee,Free
72,54,20000,Health,Forex,Free
73,36,10000,Fuel,Cashback,Premium (5K+)
74,42,5000,Food,Cashback,Mid (1.5-5K)
75,40,20000,Shopping,Rewards,Mid (1.5-5K)
76,48,20000,Shopping,Rewards,Mid (1.5-5K)
77,43,20000,Travel,Rewards,Low (<1500)
78,25,35000,Shopping,Premium,Low (<1500)
79,32,10000,Shopping,Cashback,Mid (1.5-5K)
80,26,35000,Health,Premium,Low (<1500)
81,29,35000,Health,Lounge,Free
82,48,10000,Food,Lounge,Free
83,33,20000,Travel,Cashback,Premium (5K+)
84,38,20000,Travel,Rewards,Low (<1500)
85,33,10000,Health,Cashback,Mid (1.5-5K)
86,53,20000,Shopping,Cashback,Free
87,43,20000,Travel,Premium,Low (<1500)
88,27,100000,Shopping,Cashback,Mid (1.5-5K)
89,47,20000,Utility,Lounge,Low (<1500)
90,22,60000,Utility,Cashback,Mid (1.5-5K)
91,26,20000,Fuel,Cashback,Low (<1500)
