bank,name,network,joining_fee,annual_fee,reward_type,base_reward_rate,best_reward_rate,best_category,lounge_domestic,lounge_international,forex_markup,min_income_lpa,segment,rating,best_for,lifetime_free,is_cashback,is_miles,has_both_lounge,is_lifetime_free,forex_low,fee_tier,segment_encoded
HDFC Bank,Millennia Credit Card,Mastercard,1000,1000,Cashback,1.0,5.0,Online Shopping,True,False,3.5,6,Mid,4.8,Shopping,False,1,0,0,0,0,Mid,2
HDFC Bank,Regalia Gold Credit Card,Mastercard,2500,2500,Reward Points,1.73,8.6,Myntra/Nykaa/M&S,True,True,2.0,8,Mid-Premium,4.5,Travel|Shopping,False,0,0,1,0,1,Premium,3
HDFC Bank,Swiggy BLCK Credit Card,Mastercard,1000,1000,Cashback,1.0,10.0,Swiggy App,False,False,3.5,5,Entry,4.6,Food|Dining,False,1,0,0,0,0,Mid,0
HDFC Bank,Tata Neu Infinity Credit Card,RuPay,1499,1499,NeuCoins,1.5,10.0,Tata Neu App,True,True,2.0,6,Mid,4.5,Travel|Shopping,False,0,1,1,0,1,Mid,2
HDFC Bank,Tata Neu Plus Credit Card,RuPay,499,499,NeuCoins,1.0,7.0,Tata Neu App,True,False,3.5,3,Entry,4.5,Shopping,False,0,1,0,0,0,Entry,0
HDFC Bank,PhonePe HDFC Ultimo,RuPay,999,999,Reward Points,1.0,10.0,PhonePe recharges,True,False,3.5,4,Mid,4.6,Utility|Shopping|UPI,False,0,0,0,0,0,Mid,2
HDFC Bank,PhonePe HDFC Uno,RuPay,499,499,Reward Points,1.0,2.0,PhonePe spends,False,False,3.5,3,Entry,4.5,Shopping|Utility,False,0,0,0,0,0,Entry,0
HDFC Bank,Swiggy Ornge Credit Card,Mastercard,500,500,Cashback,1.0,5.0,Swiggy App,False,False,3.5,3,Entry,4.4,Food|Shopping,False,1,0,0,0,0,Entry,0
HDFC Bank,RuPay IRCTC Credit Card,RuPay,500,500,Reward Points,1.0,5.0,IRCTC bookings,False,False,3.5,3,Entry,4.5,Travel,False,0,0,0,0,0,Entry,0
HDFC Bank,Shoppers Stop Credit Card,Mastercard,299,299,Reward Points,1.0,3.0,Shoppers Stop,False,False,3.5,3,Entry,4.5,Shopping,False,0,0,0,0,0,Entry,0
HDFC Bank,MoneyBack Plus Credit Card,Mastercard,500,500,Reward Points,2.0,10.0,Flipkart/Amazon/Swiggy,False,False,3.5,3,Entry,4.5,Shopping,False,0,0,0,0,0,Entry,0
HDFC Bank,Marriott Bonvoy Credit Card,Mastercard,3000,3000,Reward Points,2.0,8.0,Marriott Hotels,True,True,2.0,8,Mid-Premium,4.6,Travel|Stays,False,0,0,1,0,1,Premium,3
HDFC Bank,Diners Club Black Metal Edition,Diners Club,10000,10000,Reward Points,3.33,33.33,SmartBuy 10X,True,True,2.0,20,Super Premium,4.7,Travel|Dining|Shopping,False,0,0,1,0,1,Super Premium,5
HDFC Bank,INFINIA Metal Credit Card,Mastercard,12500,12500,Reward Points,3.33,33.33,SmartBuy 10X,True,True,2.0,100,Super Premium,5.0,Travel|Dining|Shopping,False,0,0,1,0,1,Super Premium,5
HDFC Bank,Diners Club Privilege Card,Diners Club,1000,1000,Reward Points,1.33,6.67,Swiggy & Zomato,True,True,2.0,6,Mid,4.5,Movies|Travel|Food,False,0,0,1,0,1,Mid,2
HDFC Bank,Shoppers Stop Black Credit Card,Mastercard,4500,4500,Reward Points,2.0,7.0,Shoppers Stop,True,True,3.5,12,Premium,4.5,Travel|Shopping,False,0,0,1,0,0,Premium,4
HDFC Bank,Freedom Credit Card,Mastercard,500,500,Reward Points,1.0,10.0,BigBasket/Swiggy/OYO,False,False,3.5,3,Entry,4.2,Shopping,False,0,0,0,0,0,Entry,0
HDFC Bank,IndianOil HDFC Credit Card,Mastercard,500,500,Fuel Points,1.0,5.0,IndianOil outlets,False,False,3.5,3,Entry,4.5,Fuel,False,0,0,0,0,0,Entry,0
HDFC Bank,Swiggy HDFC Credit Card,Mastercard,500,500,Cashback,1.0,10.0,Swiggy App,False,False,3.5,3,Entry,4.8,Food|Dining,False,1,0,0,0,0,Entry,0
HDFC Bank,UPI RuPay Credit Card,RuPay,99,99,Reward Points,1.0,3.0,Grocery/Dining,False,False,3.5,2,Entry,4.5,Shopping,False,0,0,0,0,0,Entry,0
HDFC Bank,Diners Club Black Credit Card,Diners Club,10000,10000,Reward Points,3.33,33.33,SmartBuy 10X,True,True,2.0,20,Super Premium,4.5,Travel|Dining|Shopping,False,0,0,1,0,1,Super Premium,5
HDFC Bank,Pixel Play Credit Card,Mastercard,0,0,Cashback,1.0,5.0,Two chosen categories,False,False,3.5,3,Entry,4.5,Shopping,True,1,0,0,1,0,Free,0
HDFC Bank,Pixel Go Credit Card,Mastercard,250,250,Cashback,1.0,1.0,All spends,False,False,3.5,3,Entry,4.4,Shopping,False,1,0,0,0,0,Entry,0
SBI Card,Cashback SBI Credit Card,Mastercard,999,999,Cashback,1.0,5.0,All online spends,False,False,3.5,5,Entry-Mid,4.7,Shopping|Food,False,1,0,0,0,0,Mid,1
SBI Card,SimplyCLICK Credit Card,Mastercard,499,499,Reward Points,1.0,10.0,Apollo/Swiggy/BookMyShow,False,False,3.5,3,Entry,4.8,Shopping,False,0,0,0,0,0,Entry,0
SBI Card,PhonePe SBI PURPLE,RuPay,499,499,Reward Points,1.0,3.0,PhonePe spends,False,False,3.5,3,Entry,4.6,Shopping|Utility,False,0,0,0,0,0,Entry,0
SBI Card,Flipkart SBI Credit Card,Mastercard,500,500,Cashback,1.0,7.5,Flipkart/Myntra,False,False,3.5,3,Entry,4.8,Shopping,False,1,0,0,0,0,Entry,0
SBI Card,Tata Neu Plus SBI Credit Card,RuPay,499,499,NeuCoins,1.0,2.0,Tata Neu + brands,True,False,3.5,3,Entry,4.4,Travel|Shopping,False,0,1,0,0,0,Entry,0
SBI Card,BPCL SBI Credit Card,Mastercard,499,499,Reward Points,0.25,3.25,BPCL fuel stations,False,False,3.5,3,Entry,4.6,Fuel,False,0,0,0,0,0,Entry,0
SBI Card,PhonePe SBI SELECT BLACK,Mastercard,1499,1499,Reward Points,1.0,10.0,PhonePe spends,True,True,3.5,8,Mid,4.8,Shopping|Utility,False,0,0,1,0,0,Mid,2
SBI Card,Tata Neu Infinity SBI Credit Card,RuPay,1499,1499,NeuCoins,1.5,5.0,Tata Neu + brands,True,False,1.99,6,Mid,4.5,Travel|Shopping,False,0,1,0,0,1,Mid,2
